sample_name,Target,0,1,2,3,4,5,6,7,8,9,cas9_score,nick_to_pegRNA,dPAM,PE3b,RTT_GC,RTT_length,PBS_GC,PBS_length,N_subsitution,N_deletion,N_insertions,Target_pos,Target_end_flank
FIG2B_FANCF_20,19.54721447,0.984334,0,0.527898,0.592155,0.612542,0.635118,0,0.031065,0.677039,0.788609,60.384,,1,0,0.5,20,0.615384615,13,1,0,0,5,15
FIG2B_HEK3_10,14.64532713,0.754627,0.288207,0.281879,0.239307,0.256332,0.269899,0.0566544,0.0709095,0.0848431,0.0909263,63.265,,0,0,0.5,10,0.615384615,13,1,0,0,1,9
FIG2B_HEK3_11,8.683759267,0.994285,0,0.64666,0.623776,0.267633,0.285868,0.301006,0.0467761,0.0733577,0.0801556,63.265,,0,0,0.545454545,11,0.615384615,13,1,0,0,1,10
FIG2B_HEK3_12,8.8047751,0.981103,0.434797,0.393848,0.127247,0.12654,0.36925,0.394677,0.415591,0.0490458,0.0654273,63.265,,0,0,0.583333333,12,0.615384615,13,1,0,0,1,11
FIG2B_HEK3_13,15.0111953,0.803937,0.0430247,0.452093,0.409667,0.133757,0.137271,0.389228,0.416172,0.438241,0.0470947,63.265,,0,0,0.538461538,13,0.615384615,13,1,0,0,1,12
FIG2B_HEK3_14,12.70043257,0.842415,0,0.21908,0.143749,0.136101,0.161201,0.165549,0.484572,0.517863,0.577152,63.265,,0,0,0.5,14,0.615384615,13,1,0,0,1,13
FIG2B_HEK3_15,11.23455343,0.812334,0.0238745,0.0388195,0.0652633,0.0998196,0.102996,0.17842,0.183297,0.541746,0.611041,63.265,,0,0,0.466666667,15,0.615384615,13,1,0,0,1,14
FIG2B_HEK3_16,3.494154933,0.992722,0.0779228,0.0885018,0.0798912,0.145398,0.107953,0.111373,0.190184,0.195478,0.613969,63.265,,0,0,0.5,16,0.615384615,13,1,0,0,1,15
FIG2B_HEK3_17,1.814621833,0.997492,0.891217,0.892764,0.832508,0.669413,0.0598581,0.0835145,0.110585,0.177875,0.182451,63.265,,0,0,0.529411765,17,0.615384615,13,1,0,0,1,16
FIG2B_HEK3_18,6.3537442,0.894695,0.0423453,0.888085,0.890283,0.829706,0.66664,0.0677659,0.0875139,0.103701,0.186348,63.265,,0,0,0.5,18,0.615384615,13,1,0,0,1,17
FIG2B_HEK3_19,6.208820133,0.916989,0,0.196381,0.512411,0.532895,0.504418,0.404215,0.208565,0.0978873,0.105746,63.265,,0,0,0.473684211,19,0.615384615,13,1,0,0,1,18
FIG2B_HEK3_20,1.6715119,0.995448,0.0187738,0.0324963,0.0549514,0.259541,0.26766,0.280049,0.300864,0.306535,0.104164,63.265,,0,0,0.5,20,0.615384615,13,1,0,0,1,19
FIG2B_HEK4_10,12.02838703,0.809278,0.0608792,0.0717806,0.130976,0.152792,0,0.0127901,0.0105995,0.0834925,0.108499,54.311,,0,0,0.4,10,0.818181818,11,1,0,0,2,8
FIG2B_HEK4_11,8.857424133,0.803836,0.110327,0.138826,0.158951,0.181524,0.210504,0,0.013429,0.0194161,0.0828627,54.311,,0,0,0.363636364,11,0.818181818,11,1,0,0,2,9
FIG2B_HEK4_12,3.2584874,0.992986,0.119916,0.164145,0.193047,0.221156,0.252626,0.294288,0,0.0164726,0,54.311,,0,0,0.416666667,12,0.818181818,11,1,0,0,2,10
FIG2B_HEK4_13,5.792761567,0.629822,0.704046,0.709975,0.672525,0.575403,0.224813,0.0456406,0.0550469,0,0,54.311,,0,0,0.461538462,13,0.818181818,11,1,0,0,2,11
FIG2B_HEK4_14,1.825453167,0.999768,0.972366,0.996793,0.981044,0.937497,0.806786,0.0300736,0.0327951,0.03459,0,54.311,,0,0,0.5,14,0.818181818,11,1,0,0,2,12
FIG2B_HEK4_15,3.118029433,0.493634,0.524433,0.816113,0.857264,0.85125,0.809356,0.693271,0.133277,0.027458,0.0325619,54.311,,0,0,0.533333333,15,0.818181818,11,1,0,0,2,13
FIG2B_HEK4_16,3.692854667,0.448888,0.213502,0.479511,0.703566,0.745778,0.745698,0.706252,0.601497,0.23932,0.0465142,54.311,,0,0,0.5,16,0.818181818,11,1,0,0,2,14
FIG2B_HEK4_17,1.402595633,0.947738,0,0.112176,0.0542372,0.369112,0.403677,0.440414,0.476145,0.510282,0.487312,54.311,,0,0,0.529411765,17,0.818181818,11,1,0,0,2,15
FIG2B_HEK4_18,2.445376333,0.547989,0.095872,0.0864136,0.162499,0.366485,0.517688,0.541616,0.548793,0.519137,0.460372,54.311,,0,0,0.5,18,0.818181818,11,1,0,0,2,16
FIG2B_HEK4_19,3.336591433,0.0606325,0.0614022,0.0818027,0.0801007,0.188283,0.425945,0.446285,0.466179,0.466717,0.455493,54.311,,0,0,0.526315789,19,0.818181818,11,1,0,0,2,17
FIG2B_HEK4_20,3.5987784,0.809278,0.0608792,0.0717806,0.130976,0.152792,0,0.0127901,0.0105995,0.0834925,0.108499,54.311,,0,0,0.4,10,0.818181818,11,1,0,0,2,8
FIG2B_HEK4_7,11.22131807,0.419075,0.45562,0.0507865,0.0199712,0,0.0877023,0.113734,0.125608,0.0310042,0.0320141,54.311,,0,0,0.571428571,7,0.818181818,11,1,0,0,2,5
FIG2B_HEK4_8,10.5842106,0,0.438839,0.537187,0,0,0,0.0891077,0.11559,0.12767,0.0332757,54.311,,0,0,0.5,8,0.818181818,11,1,0,0,2,6
FIG2B_HEK4_9,10.06732293,0.942437,0.610603,0.105044,0.208568,0,0,0.0188115,0.0853135,0.111243,0.123048,54.311,,0,0,0.444444444,9,0.818181818,11,1,0,0,2,7
FIG2B_RNF2_10,6.6236501,0.0102369,0.424729,0.51492,0.290801,0.299088,0.0117781,0.420087,0.468961,0.472434,0.211021,52.23,,0,0,0.4,10,0.333333333,15,1,0,0,1,9
FIG2B_RNF2_11,6.989605033,0,0.453619,0.126062,0.192711,0.154063,0.158972,0.0202076,0.495397,0.548628,0.548137,52.23,,0,0,0.454545455,11,0.333333333,15,1,0,0,1,10
FIG2B_RNF2_12,5.0460575,0.997537,0.559683,0,0.0338396,0.0506609,0,0.0352735,0.03925,0.401477,0.443573,52.23,,0,0,0.5,12,0.333333333,15,1,0,0,1,11
FIG2B_RNF2_13,9.090169467,0.405851,0.434974,0.188467,0,0.189477,0.207534,0.0393367,0.247267,0.275046,0.281954,52.23,,0,0,0.461538462,13,0.333333333,15,1,0,0,1,12
FIG2B_RNF2_14,11.2261705,0.257855,0.413246,0.498761,0.345037,0,0.337716,0.368911,0.0609921,0.431227,0.482303,52.23,,0,0,0.428571429,14,0.333333333,15,1,0,0,1,13
FIG2B_RNF2_15,4.728352367,0.99836,0.499946,0.316235,0.336969,0.343406,0,0.340906,0.372449,0.0656228,0.468056,52.23,,0,0,0.466666667,15,0.333333333,15,1,0,0,1,14
FIG2B_RNF2_16,7.9873087,0.216834,0.395116,0.303279,0.381909,0.405105,0.412755,0.0113212,0.407359,0.445,0.0809906,52.23,,0,0,0.4375,16,0.333333333,15,1,0,0,1,15
FIG2B_RNF2_17,4.464962033,0.992108,0.971045,0.9738,0.330495,0.396052,0.420231,0.428183,0.0119699,0.420299,0.479964,52.23,,0,0,0.411764706,17,0.333333333,15,1,0,0,1,16
FIG2B_RNF2_18,5.708599667,0.688998,0.182794,0.374995,0.399494,0.344893,0.426375,0.451783,0.460309,0.0127973,0.466354,52.23,,0,0,0.388888889,18,0.333333333,15,1,0,0,1,17
FIG2B_RNF2_19,4.701689,0,0,0.0943368,0.129815,0.137114,0.316688,0.394496,0.41786,0.425905,0.0122787,52.23,,0,0,0.421052632,19,0.333333333,15,1,0,0,1,18
FIG2B_RNF2_20,4.380848633,0.0669505,0.0553053,0.0696362,0.0628439,0.0632481,0.0661297,0.33648,0.418585,0.442642,0.469312,52.23,,0,0,0.4,20,0.333333333,15,1,0,0,1,19
